,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,SubDivisionCode
2335,1,1352,0,0,1580,0.5,1966,699000,-1
2336,68,1260,600,600,300,0.08,1972,322500,-1
2337,61,1085,0,0,264,0.0,1983,202000,-1
2338,8,2473,960,0,484,0.38,1979,530000,-1
2339,1,2508,1800,1800,791,0.43,1980,1215520,-1
2340,1,1367,898,0,400,0.08,1983,387500,-1
2341,68,864,0,0,231,0.0,1977,245000,-1
2342,8,1743,923,923,484,0.21,1997,480000,-1
2343,68,1516,925,793,400,0.06,1996,410000,-1
2344,68,1326,594,506,440,0.04,2002,347000,22
2345,8,1248,0,0,240,0.07,2000,332000,-1
2346,8,2461,1179,0,630,0.34,2005,485000,38
2347,7,1634,530,0,616,0.11,2011,397500,31
2348,20,1454,0,0,72,0.0,2004,800000,-1
2349,1,1596,1564,0,440,0.18,1986,413000,-1
2350,1,2636,0,0,720,1.1,1965,597400,-1
2351,1,1500,0,0,0,0.64,1919,476000,-1
2352,1,1807,1026,1026,484,0.18,1962,550000,-1
2353,1,1099,240,0,264,0.13,1905,522000,-1
2354,15,1368,0,0,0,0.0,1983,36000,-1
2355,19,909,0,0,0,0.0,1972,212000,-1
2356,8,1920,168,0,504,0.79,2008,308274,25
2357,8,2562,1354,1082,680,0.18,1994,584500,16
2358,61,1352,742,472,462,0.08,1999,387500,-1
2359,1,2077,1199,1199,380,0.18,1998,550000,41
2360,68,1360,0,0,380,0.05,1986,337000,-1
2361,19,848,0,0,0,0.0,1984,217500,-1
2362,19,918,0,0,0,0.0,1974,222000,-1
2363,19,1058,0,0,220,0.0,2016,364900,17
2364,19,940,0,0,0,0.0,2005,260000,46
2365,68,1428,0,0,420,0.0,2005,335500,51
2366,1,1750,1633,446,590,0.14,2008,489500,38
2367,68,1452,728,298,420,0.0,2004,373500,51
2368,1,1523,1522,834,440,0.12,2013,385000,31
2369,19,1134,0,0,0,0.0,2001,261500,18
2370,8,1757,864,0,418,0.11,2012,411401,-1
2371,7,1344,0,0,288,0.1,1979,307500,-1
2372,7,1857,484,0,462,0.14,1991,450000,-1
2373,61,1270,0,0,440,0.0,1986,328000,-1
2374,1,1686,360,0,360,0.22,1894,566500,-1
2375,1,1300,1300,1300,528,0.26,1974,488000,-1
2376,1,1248,0,0,864,1.0,1984,421723,-1
2377,68,840,420,0,200,0.0,1974,270000,-1
2378,8,1840,624,624,564,0.17,1983,515000,-1
2379,19,1195,0,0,220,0.0,2004,319000,50
2380,68,1505,624,0,504,0.04,2005,330000,22
2381,19,922,0,0,304,0.0,2003,280000,29
2382,1,2208,2208,1834,768,0.34,2005,840000,23
2383,19,1219,0,0,0,0.05,2003,240000,-1
2384,7,1614,468,468,400,0.18,1995,380000,-1
2385,8,2512,780,780,484,0.18,1979,516500,-1
2386,8,2987,1252,1252,1164,0.33,1989,940000,-1
2387,1,832,832,0,330,0.11,1955,397500,-1
2388,14,1056,0,0,0,0.0,1992,42000,-1
2389,1,1469,0,0,462,0.0,1974,335000,-1
2390,1,1104,1104,1104,480,0.24,1974,411000,-1
2391,1,948,264,0,0,0.73,1915,435000,-1
2392,8,1256,840,840,288,0.61,2000,550000,25
2393,1,1326,1326,1200,420,0.21,1972,420000,-1
2394,14,510,0,0,0,0.0,1960,20000,-1
